OrderID;DateTime;MinDateTime;MaxDateTime;Status;AuthCode;Currency
1846-3;22.11.2022 13:32;22.11.2022 13:32;01.03.2023 16:46;Оплачен;JN78;RUB
5616-4;07.12.2022 16:14;07.12.2022 16:14;01.03.2023 16:16;Возврат средств;XH85;RUB
7755-15;10.12.2022 22:54;10.12.2022 22:54;01.03.2023 16:16;Возврат средств;RC99;RUB
3674-3;15.12.2022 21:43;15.12.2022 21:45;01.03.2023 17:52;Оплачен;IY191;RUB
7217-18;01.01.2023 23:28;01.01.2023 23:28;01.03.2023 10:06;Оплачен;JD135;RUB
7469-5;01.01.2023 23:28;01.01.2023 23:28;01.03.2023 10:06;Оплачен;ZY76;RUB
2815-12;16.01.2023 19:39;16.01.2023 19:39;01.03.2023 13:08;Оплачен;CE94;RUB
4192-16;20.01.2023 11:39;20.01.2023 11:39;01.03.2023 14:27;Оплачен;GP164;RUB
5099-15;24.01.2023 23:06;24.01.2023 23:06;01.03.2023 10:37;Возврат средств;WT21;RUB
2336-11;26.01.2023 11:06;26.01.2023 11:06;01.03.2023 10:37;Возврат средств;XY149;RUB
6189-14;31.01.2023 19:26;31.01.2023 19:26;01.03.2023 13:50;Оплачен;TZ139;RUB
3970-13;01.02.2023 22:37;01.02.2023 22:37;01.03.2023 13:26;Возврат средств;EC167;RUB
7876-11;02.02.2023 12:39;02.02.2023 12:39;01.03.2023 13:44;Оплачен;ZD17;RUB
7536-20;03.02.2023 20:18;03.02.2023 20:18;01.03.2023 10:00;Возврат средств;VP160;RUB
2619-6;07.02.2023 19:45;07.02.2023 19:45;01.03.2023 13:06;Оплачен;QE89;RUB
2746-13;10.02.2023 10:49;10.02.2023 10:49;01.03.2023 10:11;Оплачен;EP139;RUB
3434-20;12.02.2023 14:14;12.02.2023 14:14;01.03.2023 10:21;Возврат средств;UG116;RUB
1715-9;15.02.2023 15:23;15.02.2023 15:23;01.03.2023 13:53;Возврат средств;OY153;RUB
6299-11;15.02.2023 20:08;15.02.2023 20:08;01.03.2023 9:54;Оплачен;WI184;RUB
5502-18;15.02.2023 21:39;15.02.2023 21:42;01.03.2023 14:22;Оплачен;ZT130;RUB
8972-15;16.02.2023 11:28;16.02.2023 11:28;01.03.2023 13:53;Возврат средств;CZ7;RUB
7059-17;25.02.2023 21:59;25.02.2023 21:59;01.03.2023 11:04;Оплачен;FI130;RUB
1705-12;27.02.2023 16:58;27.02.2023 16:58;01.03.2023 11:06;Оплачен;XH145;RUB
2999-5;27.02.2023 18:52;27.02.2023 18:52;01.03.2023 10:24;Возврат средств;NI102;RUB
1851-1;27.02.2023 19:19;27.02.2023 19:19;01.03.2023 13:11;Оплачен;WT13;RUB
2979-9;27.02.2023 20:04;27.02.2023 20:04;01.03.2023 10:46;Оплачен;QU27;RUB
4293-16;27.02.2023 23:20;27.02.2023 23:20;01.03.2023 9:41;Оплачен;TW193;RUB
2864-18;28.02.2023 9:48;28.02.2023 9:48;01.03.2023 14:04;Оплачен;SN151;RUB
4675-19;28.02.2023 10:55;28.02.2023 10:55;01.03.2023 17:09;Оплачен;VP184;RUB
2889-4;28.02.2023 11:10;28.02.2023 11:10;01.03.2023 9:34;Оплачен;QK72;RUB
7433-5;28.02.2023 14:26;28.02.2023 14:26;01.03.2023 9:34;Оплачен;DO167;RUB
5080-3;28.02.2023 15:30;28.02.2023 15:30;01.03.2023 12:40;Оплачен;NL183;RUB
1941-15;28.02.2023 15:32;28.02.2023 15:32;01.03.2023 17:40;Оплачен;JL9;RUB
8863-13;28.02.2023 15:37;28.02.2023 15:37;01.03.2023 16:08;Оплачен;CJ175;RUB
5501-8;28.02.2023 16:23;28.02.2023 16:23;01.03.2023 14:19;Оплачен;GC135;RUB
7684-13;28.02.2023 16:26;28.02.2023 16:26;01.03.2023 12:40;Оплачен;GA198;RUB
7904-18;28.02.2023 18:32;28.02.2023 18:32;01.03.2023 14:08;Оплачен;AZ172;RUB
6099-3;28.02.2023 18:39;28.02.2023 18:39;01.03.2023 10:10;Оплачен;NA158;RUB
6405-18;28.02.2023 19:07;28.02.2023 19:07;01.03.2023 9:37;Оплачен;HH9;RUB
5438-11;28.02.2023 19:26;28.02.2023 19:26;01.03.2023 7:40;Оплачен;TO121;RUB
5589-10;28.02.2023 19:35;28.02.2023 19:35;01.03.2023 7:10;Оплачен;TP53;RUB
6745-13;28.02.2023 19:42;28.02.2023 19:42;01.03.2023 6:04;Оплачен;XJ199;RUB
4147-8;28.02.2023 19:58;28.02.2023 19:58;01.03.2023 17:40;Оплачен;EU156;RUB
2421-18;28.02.2023 20:41;28.02.2023 20:41;01.03.2023 11:04;Оплачен;YJ122;RUB
